0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
120.0,110.0,200.0,100.0,100.0,90.0,100.0,110.0,120.0,110.0,90.0,110.0,100.0,150.0,120.0,180.0,100.0,120.0,170.0,240.0,100.0,130.0,120.0,90.0,130.0,150.0,150.0,150.0,160.0,160.0,120.0,120.0,140.0,220.0,240.0,280.0,280.0,150.0,190.0,300.0,560.0,200.0,170.0,260.0,450.0,140.0,410.0,250.0,,,,,,,,,,,,,,,
60.0,80.0,60.0,70.0,70.0,60.0,70.0,60.0,80.0,60.0,90.0,80.0,100.0,70.0,70.0,80.0,70.0,70.0,80.0,80.0,90.0,80.0,70.0,80.0,190.0,110.0,60.0,70.0,70.0,80.0,90.0,80.0,80.0,70.0,130.0,60.0,430.0,1120.0,60.0,80.0,100.0,70.0,80.0,90.0,100.0,490.0,400.0,490.0,,,,,,,,,,,,,,,
60.0,80.0,80.0,90.0,90.0,90.0,90.0,70.0,80.0,70.0,70.0,90.0,110.0,110.0,80.0,70.0,80.0,80.0,80.0,80.0,80.0,90.0,100.0,70.0,70.0,70.0,80.0,90.0,70.0,70.0,80.0,40.0,50.0,110.0,160.0,80.0,90.0,90.0,70.0,80.0,90.0,80.0,80.0,80.0,130.0,710.0,540.0,,,,,,,,,,,,,,,,
70.0,130.0,90.0,110.0,70.0,120.0,60.0,80.0,80.0,90.0,70.0,90.0,80.0,100.0,70.0,90.0,100.0,90.0,80.0,100.0,80.0,90.0,80.0,110.0,210.0,80.0,100.0,210.0,190.0,240.0,280.0,110.0,160.0,80.0,70.0,60.0,90.0,110.0,150.0,380.0,140.0,100.0,200.0,280.0,170.0,230.0,1380.0,,,,,,,,,,,,,,,,
100.0,80.0,80.0,80.0,90.0,60.0,70.0,80.0,90.0,70.0,100.0,90.0,80.0,80.0,80.0,80.0,90.0,100.0,80.0,90.0,100.0,70.0,120.0,120.0,90.0,150.0,330.0,130.0,150.0,100.0,100.0,100.0,140.0,160.0,90.0,110.0,110.0,140.0,120.0,70.0,150.0,160.0,140.0,110.0,100.0,110.0,390.0,,,,,,,,,,,,,,,,
120.0,100.0,100.0,100.0,90.0,110.0,90.0,90.0,110.0,100.0,100.0,90.0,100.0,70.0,110.0,90.0,140.0,120.0,140.0,130.0,150.0,150.0,150.0,140.0,130.0,130.0,130.0,130.0,140.0,100.0,150.0,90.0,130.0,180.0,150.0,140.0,140.0,140.0,100.0,150.0,160.0,160.0,170.0,520.0,410.0,430.0,540.0,,,,,,,,,,,,,,,,
80.0,70.0,70.0,120.0,130.0,120.0,100.0,100.0,140.0,100.0,110.0,150.0,120.0,90.0,100.0,80.0,80.0,80.0,100.0,90.0,130.0,100.0,110.0,140.0,100.0,120.0,120.0,100.0,100.0,100.0,100.0,130.0,180.0,80.0,220.0,130.0,220.0,150.0,100.0,100.0,120.0,210.0,100.0,80.0,150.0,780.0,,,,,,,,,,,,,,,,,
100.0,170.0,100.0,110.0,100.0,90.0,120.0,130.0,140.0,140.0,120.0,180.0,220.0,100.0,110.0,100.0,160.0,120.0,90.0,100.0,80.0,120.0,80.0,130.0,140.0,110.0,140.0,240.0,250.0,160.0,110.0,90.0,90.0,100.0,160.0,100.0,220.0,110.0,100.0,140.0,160.0,110.0,250.0,600.0,320.0,180.0,,,,,,,,,,,,,,,,,
100.0,100.0,110.0,90.0,80.0,60.0,100.0,70.0,90.0,100.0,100.0,130.0,80.0,90.0,70.0,80.0,80.0,80.0,100.0,60.0,110.0,90.0,110.0,140.0,90.0,80.0,130.0,220.0,130.0,140.0,100.0,120.0,100.0,100.0,90.0,90.0,80.0,100.0,110.0,540.0,150.0,160.0,340.0,230.0,170.0,1680.0,,,,,,,,,,,,,,,,,
90.0,70.0,70.0,80.0,110.0,90.0,110.0,80.0,70.0,80.0,90.0,80.0,110.0,110.0,90.0,60.0,90.0,120.0,80.0,90.0,70.0,60.0,90.0,80.0,70.0,70.0,90.0,110.0,150.0,80.0,130.0,170.0,90.0,90.0,180.0,80.0,200.0,100.0,90.0,80.0,170.0,130.0,180.0,210.0,360.0,760.0,,,,,,,,,,,,,,,,,
